City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Raga,SS,8.4596,25.678,72.73,93,100,3.91,light rain
80,Namibe,AO,-15.1961,12.1522,66.83,72,75,11.5,broken clouds
81,Wageningen,NL,51.9667,5.6667,75.29,78,75,10.36,broken clouds
82,Pevek,RU,69.7008,170.3133,46.17,66,4,9.01,clear sky
83,Kolvereid,NO,64.8655,11.6047,56.43,90,96,8.43,overcast clouds
84,Bethel,US,41.3712,-73.414,82.45,58,0,3.44,clear sky
85,Kavieng,PG,-2.5744,150.7967,81.68,79,89,18.16,light rain
86,Pemangkat,ID,1.1667,108.9667,77.05,85,97,3.44,overcast clouds
87,Sakaraha,MG,-22.9,44.5333,68.67,68,90,4.23,light rain
88,Erzin,TR,36.9559,36.2,83.73,65,0,9.84,clear sky
89,Atherton,GB,53.5237,-2.4935,73.29,61,6,8.01,clear sky
90,Kailua,US,21.4022,-157.7394,78.78,78,20,9.22,few clouds
91,Marawi,PH,7.9986,124.2928,69.98,91,100,3.09,overcast clouds
92,Pisco,PE,-13.7,-76.2167,60.85,82,100,3.44,mist
93,Banda Aceh,ID,5.5577,95.3222,80.26,79,30,10.29,scattered clouds
94,Severnyy,RU,50.677,36.5532,80.64,34,0,11.18,clear sky
95,Vardo,NO,70.3705,31.1107,53.78,96,31,9.86,scattered clouds
96,Ust-Omchug,RU,61.15,149.6333,51.13,92,100,5.86,overcast clouds
97,Tripoli,LY,32.8752,13.1875,87.26,60,0,12.41,clear sky
98,Saint-Pierre,RE,-21.3393,55.4781,71.28,73,20,5.75,few clouds
99,Piopio,NZ,-38.4667,175.0167,44.1,99,26,0.25,scattered clouds
100,Hami,CN,42.8,93.45,86.77,25,27,3.65,scattered clouds
101,Port Hawkesbury,CA,45.6169,-61.3485,75.9,76,1,11.99,clear sky
102,Zaria,NG,11.1113,7.7227,81.3,59,92,6.11,overcast clouds
103,Naze,JP,28.3667,129.4833,79.29,88,99,27.09,overcast clouds
104,Ahipara,NZ,-35.1667,173.1667,51.57,69,7,9.35,clear sky
105,Eureka,US,40.8021,-124.1637,61.2,87,96,3.29,overcast clouds
106,Carnarvon,AU,-24.8667,113.6333,69.78,50,100,8.7,light rain
107,Avarua,CK,-21.2078,-159.775,75.25,69,100,11.5,overcast clouds
108,Coquimbo,CL,-29.9533,-71.3436,55.13,71,100,3.44,overcast clouds
109,Pianco,BR,-7.1981,-37.9292,91.44,37,34,3.44,scattered clouds
110,Karla,EE,59.3723,24.9275,73.36,46,0,11.5,clear sky
111,Hovd,MN,48.0056,91.6419,73.08,38,100,2.82,overcast clouds
112,Marsh Harbour,BS,26.5412,-77.0636,83.95,71,37,13.22,scattered clouds
113,Faanui,PF,-16.4833,-151.75,79.32,67,0,23.04,clear sky
114,Araouane,ML,18.9048,-3.5265,102.45,24,41,11.52,scattered clouds
115,Kralendijk,BQ,12.15,-68.2667,84.18,65,0,25.32,clear sky
116,Vao,NC,-22.6667,167.4833,69.13,77,99,23.55,overcast clouds
117,Pangani,TZ,-5.4333,38.9667,75.9,78,8,12.39,clear sky
118,Gravdal,NO,68.1214,13.5031,60.69,94,40,11.5,scattered clouds
119,Bilma,NE,18.6853,12.9164,100.9,24,70,8.46,broken clouds
120,Panjab,AF,34.388,67.0233,59.88,55,72,5.46,broken clouds
121,Vila Velha,BR,-20.3297,-40.2925,75.15,69,0,14.97,clear sky
122,Palestina,PS,31.9216,35.2033,77.94,61,34,14.81,scattered clouds
123,Lagoa,PT,39.05,-27.9833,72.82,71,1,4.81,clear sky
124,Bucerias,MX,20.75,-105.3333,79.99,83,100,4.61,overcast clouds
125,San Carlos De Bariloche,AR,-41.1456,-71.3082,39.24,86,0,4.61,clear sky
126,Fortuna,US,40.5982,-124.1573,60.93,90,96,2.17,overcast clouds
127,Kapit,MY,2.0167,112.9333,73.15,99,100,2.33,overcast clouds
128,Klaksvik,FO,62.2266,-6.589,52.65,76,55,17.69,light rain
129,Suez,EG,29.9737,32.5263,98.04,21,6,5.73,clear sky
130,Praya,CV,14.9215,-23.5087,84.74,58,75,13.8,broken clouds
131,Matagalpa,NI,12.9256,-85.9175,75.97,69,64,10.42,broken clouds
132,Manokwari,ID,-0.8667,134.0833,78.93,67,100,3.78,overcast clouds
133,Isabela,PH,6.7085,121.9711,78.58,87,100,8.1,overcast clouds
134,Castro,BR,-24.7911,-50.0119,66.69,36,0,3.18,clear sky
135,Kupang,ID,-10.1667,123.5833,75.87,80,55,11.63,broken clouds
136,Khatanga,RU,71.9667,102.5,46.65,70,99,11.74,overcast clouds
137,College,US,64.8569,-147.8028,57.58,92,100,0.0,light rain
138,Wilmington,US,34.2257,-77.9447,90.9,70,20,8.05,few clouds
139,Muscat,OM,23.6139,58.5922,89.62,66,100,6.38,light rain
140,Anadyr,RU,64.75,177.4833,46.49,81,100,0.89,overcast clouds
141,Pangnirtung,CA,66.1451,-65.7125,53.6,87,75,3.44,broken clouds
142,Port Hedland,AU,-20.3167,118.5667,72.41,57,21,3.89,few clouds
143,Oranjemund,NA,-28.55,16.4333,58.19,62,3,24.72,clear sky
144,Georgetown,MY,5.4112,100.3354,84.13,82,20,0.0,few clouds
145,Chokurdakh,RU,70.6333,147.9167,57.29,71,60,5.44,broken clouds
146,Sangar,RU,63.9242,127.4739,67.6,80,92,10.78,overcast clouds
147,Vostok,RU,46.4856,135.8833,64.58,94,98,3.56,overcast clouds
148,Seoul,KR,37.5683,126.9778,78.24,92,100,6.73,overcast clouds
149,Loukhi,RU,66.0764,33.0381,55.56,88,100,6.93,overcast clouds
150,Kyzyl-Suu,KG,42.3414,78.0056,60.37,66,11,4.68,few clouds
151,Sayyan,YE,15.1718,44.3244,65.14,63,98,3.76,overcast clouds
152,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,49,75,8.05,broken clouds
153,Oyama,JP,36.3,139.8,89.58,69,100,3.71,overcast clouds
154,Sedalia,US,38.7045,-93.2283,76.42,88,100,4.61,overcast clouds
155,Salalah,OM,17.0151,54.0924,78.89,83,75,11.5,broken clouds
156,Puerto Colombia,CO,10.9878,-74.9547,87.89,70,44,12.8,scattered clouds
157,Aklavik,CA,68.2191,-135.0107,50.05,73,84,1.61,broken clouds
158,Fort Nelson,CA,58.8053,-122.7002,57.97,84,96,3.18,overcast clouds
159,Port Blair,IN,11.6667,92.75,80.64,89,75,9.22,broken clouds
160,Egvekinot,RU,66.3167,-179.1667,47.64,59,100,2.06,overcast clouds
161,Coos Bay,US,43.3665,-124.2179,62.31,97,100,0.0,overcast clouds
162,Axim,GH,4.8699,-2.2405,75.83,78,98,11.5,overcast clouds
163,Terrace,CA,54.5163,-128.6035,68.99,92,79,2.26,broken clouds
164,Elda,ES,38.4778,-0.7916,87.91,53,0,11.45,clear sky
165,East London,ZA,-33.0153,27.9116,61.3,55,69,16.11,broken clouds
166,Chuy,UY,-33.6971,-53.4616,57.4,60,67,3.13,broken clouds
167,Torbay,CA,47.6666,-52.7314,74.88,69,0,15.28,clear sky
168,Los Llanos De Aridane,ES,28.6585,-17.9182,75.13,78,75,13.8,broken clouds
169,Cadiz,ES,36.5,-5.75,101.12,35,0,11.88,clear sky
170,Kapaa,US,22.0752,-159.319,79.12,83,20,12.66,few clouds
171,Ostrovnoy,RU,68.0531,39.5131,64.99,63,100,13.11,overcast clouds
172,Airai,TL,-8.9266,125.4092,57.7,93,87,3.18,overcast clouds
173,Tefe,BR,-3.3542,-64.7114,87.91,74,40,5.75,scattered clouds
174,Tuatapere,NZ,-46.1333,167.6833,36.77,91,26,5.35,scattered clouds
175,Alice Town,BS,25.7167,-79.3,83.53,74,6,15.97,clear sky
176,Surovikino,RU,48.6078,42.8486,89.71,25,6,8.21,clear sky
177,Kissidougou,GN,9.1848,-10.0999,79.38,77,71,3.22,light rain
178,Smithers,CA,54.7804,-127.1743,68.4,77,15,1.41,few clouds
179,Dikson,RU,73.5069,80.5464,41.4,94,98,8.97,overcast clouds
